Chem_name,CAS,consensus_2_agonist,Potency_class_2_agonist,consensus_2_antagonist,Potency_class_2_antagonist
"2,2-Bis(1-methylethyl)-1,3-dioxolane-4-methanol",470-43-9,0,Inactive,0,Inactive
stachyose,470-55-3,0,Inactive,0,Inactive
"3,5,5-trimethylcyclohex-3-en-1-one",471-01-2,0,Inactive,0,Inactive
"1,1-SULFONYLBIS(2-CHLOROETHANE)",471-03-4,0,Inactive,0,Inactive
"Ethane, 1,1-dichloro-2,2-difluoro-",471-43-2,0,Inactive,0,Inactive
Oxamic Acid,471-47-6,0,Inactive,0,Inactive
"Bicyclo[2.2.1]heptane, 7,7-dimethyl-2-methylene-",471-84-1,0,Inactive,0,Inactive
"(25R)-spirost-5-ene-1?,3?-diol",472-11-7,1,VeryWeak,1,VeryWeak
"Lup-20(29)-en-28-oic acid, 3-hydroxy-, (3?)-",472-15-1,1,VeryWeak,1,VeryWeak
"(3S,3S)-3,3-dihydroxy-?,?-carotene-4,4-dione",472-61-7,0,Suspicious,0,Suspicious
"4,4,8-trimethyltricyclo[6.3.1.02,5]dodecan-1-ol",472-97-9,1,VeryWeak,1,Weak
"1-(6-(2,2-dimethyl-6-methylenecyclohexyl)-4-methylhex-3-enyl)decahydro-2,5,5,8a-tetramethyl-2-naphthol",473-03-0,1,VeryWeak,0,Suspicious
beta-eudesmol,473-15-4,0,Suspicious,0,Suspicious
thiazosulfone,473-30-3,0,Inactive,0,Inactive
NITROSULFATHIAZOLE,473-42-7,0,Inactive,0,Inactive
glyceric acid,473-81-4,0,Inactive,0,Inactive
2-methyl-3-hydroxybutyric acid,473-86-9,0,Inactive,0,Inactive
lyoniside,474-58-8,0,Inactive,0,Inactive
24-hydroxycholesterol,474-73-7,1,VeryWeak,1,Moderate
glycolithocholic acid,474-74-8,1,VeryWeak,0,Suspicious
"6a,7-dihydro-3,4,6a,10-tetrahydroxybenz[b]indeno[1,2-d]pyran-9(6H)-one",475-25-2,1,VeryWeak,1,Weak
"benzo[h]benz[5,6]acridino[2,1,9,8-klmna]acridine-8,16-dione",475-71-8,0,Inactive,0,Inactive
"6-nitrophenanthro[3,4-d]-1,3-dioxole-5-carboxylic acid",475-80-9,0,Inactive,0,Inactive
lycorine,476-28-8,0,Suspicious,0,Inactive
colchicoside,477-29-2,0,Inactive,0,Inactive
visnadine,477-32-7,0,Inactive,0,Inactive
"3,7-diamino-2,8-dimethyl-5-phenylphenazinium chloride",477-73-6,0,Inactive,0,Suspicious
CINNOFURADIONE,477-80-5,0,Inactive,0,Inactive
dimethoxanate,477-93-0,0,Inactive,0,Inactive
"9,10-didehydro-6-methylergoline-8?-carboxamide",478-94-4,0,Inactive,0,Inactive
"2,5,7-Trihydroxynaphthoquinone",479-05-0,1,VeryWeak,1,Weak
tetraphenylcyclopentadienone,479-33-4,1,Weak,1,Weak
fulvic acid,479-66-3,0,Suspicious,0,Suspicious
broparestrol,479-68-5,1,VeryWeak,1,Weak
bietamiverin,479-81-2,0,Inactive,0,Inactive
leucocyanidin,480-17-1,1,Weak,1,Moderate
"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-benzopyrone",480-19-3,1,VeryWeak,1,Moderate
7-[[6-O-(6-deoxy-?-L-mannopyranosyl)-?-D-glucopyranosyl]oxy]-5-hydroxy-2-(4-methoxyphenyl)-4H-benzopyran-4-one,480-36-4,1,VeryWeak,1,VeryWeak
Filipin,480-49-9,0,Inactive,0,Inactive
indoxyl,480-93-3,0,Inactive,0,Inactive
Avenasterol,481-14-1,1,VeryWeak,1,Moderate
alpha-cadinol,481-34-5,1,VeryWeak,1,VeryWeak
T-muurolol,19912-62-0,1,VeryWeak,1,VeryWeak
Ecgonine,481-37-8,0,Inactive,0,Inactive
"cyclohex-1,2-ylenediaminetetra(acetic acid)",482-54-2,0,Inactive,0,Inactive
"disodium dihydrogen N,N'-1,2-cyclohexanediylbis[N-(carboxylatemethyl)glycinate]",5786-78-7,0,Inactive,0,Inactive
"trans-cyclohexane-1,2-dinitrilotetraacetic acid",13291-61-7,0,Inactive,0,Inactive
"trans-[[N,N'-cyclohexane-1,2-diylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']cuprate(2-)",19332-78-6,0,Inactive,0,Inactive
"magnesiumsodium N,N'-1,2-cyclohexanediylbis[N-(carboxymethyl)]glycinate (1:2:1)",63451-33-2,0,Inactive,0,Inactive
Phosphoadenosine Phosphosulfate,482-67-7,0,Inactive,0,Inactive
cephaeline,483-17-0,0,Inactive,0,Inactive
delta-cadinene,483-76-1,0,Suspicious,0,Suspicious
