protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
4MG8,50-28-2_min,27J_redock_4MG8,0.9739,7.8377,inf
4MG8,57-91-0_min,27J_redock_4MG8,0.9694,7.5932,inf
4MG8,50-27-1_min,27J_redock_4MG8,0.9578,7.6013,inf
4MG8,53-63-4_min,27J_redock_4MG8,0.9538,7.2127,inf
4MG8,5696-58-2_min,27J_redock_4MG8,0.9522,7.2254,inf
4MG8,362-05-0_min,27J_redock_4MG8,0.9490,7.4277,inf
4MG8,5976-61-4_min,27J_redock_4MG8,0.9436,7.4555,inf
4MG8,84-16-2_min,27J_redock_4MG8,0.9435,7.4909,inf
4MG8,56-53-1_min,27J_redock_4MG8,0.9314,7.4113,inf
4MG8,103-90-2_min,27J_redock_4MG8,0.9078,4.2666,inf
4MG8,84-17-3_min,27J_redock_4MG8,0.8753,6.9597,inf
4MG8,57-63-6_min,27J_redock_4MG8,0.8705,7.2609,inf
4MG8,481-29-8_min,27J_redock_4MG8,0.8691,6.8189,inf
4MG8,84057-84-1_min,27J_redock_4MG8,0.8542,6.1525,inf
4MG8,53-43-0_min,27J_redock_4MG8,0.8148,6.4546,inf
4MG8,95-14-7_min,27J_redock_4MG8,0.7909,3.0423,inf
4MG8,34816-55-2_min,27J_redock_4MG8,0.7908,6.1761,inf
4MG8,85-68-7_min,27J_redock_4MG8,0.7848,4.8203,inf
4MG8,876-04-0_min,27J_redock_4MG8,0.7697,3.9026,inf
4MG8,93413-62-8_min,27J_redock_4MG8,0.7470,5.1407,inf
4MG8,2243-62-1_min,27J_redock_4MG8,0.7403,3.3861,inf
4MG8,738-70-5_min,27J_redock_4MG8,0.7343,5.4435,inf
4MG8,134-62-3_min,27J_redock_4MG8,0.6926,3.5809,inf
4MG8,15569-85-4_min,27J_redock_4MG8,0.6258,3.3258,inf
4MG8,601-57-0_min,27J_redock_4MG8,0.6257,4.9072,inf
4MG8,301-02-0_min,27J_redock_4MG8,0.6255,4.6752,inf
4MG8,126-73-8_min,27J_redock_4MG8,0.6133,2.6321,inf
4MG8,537-46-2_min,27J_redock_4MG8,0.6109,2.7282,inf
4MG8,28721-07-5_min,27J_redock_4MG8,0.6105,3.9058,inf
4MG8,525-66-6_min,27J_redock_4MG8,0.6073,3.9637,inf
4MG8,54-11-5_min,27J_redock_4MG8,0.5961,3.0341,inf
4MG8,34014-18-1_min,27J_redock_4MG8,0.5961,3.5742,inf
4MG8,2631-40-5_min,27J_redock_4MG8,0.5901,3.4986,inf
4MG8,60207-90-1_min,27J_redock_4MG8,0.5822,4.2665,inf
4MG8,298-46-4_min,27J_redock_4MG8,0.5699,3.4462,inf
4MG8,29331-92-8_min,27J_redock_4MG8,0.5616,3.3473,inf
4MG8,104746-04-5_min,27J_redock_4MG8,0.5616,3.3473,inf
4MG8,36507-30-9_min,27J_redock_4MG8,0.5568,3.5656,inf
4MG8,14800-24-9_min,27J_redock_4MG8,0.5540,2.1053,inf
4MG8,72-33-3_min,27J_redock_4MG8,0.5535,4.2746,inf
4MG8,10605-21-7_min,27J_redock_4MG8,0.5472,2.7593,inf
4MG8,58-08-2_min,27J_redock_4MG8,0.5456,2.7882,inf
4MG8,1222-05-5_min,27J_redock_4MG8,0.5456,3.6649,inf
4MG8,107534-96-3_min,27J_redock_4MG8,0.5292,3.9535,inf
4MG8,42542-10-9_min,27J_redock_4MG8,0.5179,2.7357,inf
4MG8,5051-22-9_min,27J_redock_4MG8,0.4989,3.2381,inf
4MG8,97-39-2_min,27J_redock_4MG8,0.4938,3.3334,inf
4MG8,58-73-1_min,27J_redock_4MG8,0.4876,2.7620,inf
4MG8,58955-93-4_min,27J_redock_4MG8,0.4526,2.5880,inf
4MG8,34911-55-2_min,27J_redock_4MG8,0.4487,2.7425,inf
4MG8,144-83-2_min,27J_redock_4MG8,0.4435,2.5164,inf
4MG8,541-02-6_min,27J_redock_4MG8,0.4070,1.7662,inf
4MG8,7374-53-0_min,27J_redock_4MG8,0.3805,2.1548,inf
4MG8,18684-55-4_min,27J_redock_4MG8,0.3621,2.3971,inf
4MG8,2163-68-0_min,27J_redock_4MG8,0.3588,2.0230,inf
4MG8,1912-24-9_min,27J_redock_4MG8,0.3544,2.0938,inf
4MG8,66722-44-9_min,27J_redock_4MG8,0.3453,2.0406,inf
4MG8,93413-69-5_min,27J_redock_4MG8,0.3325,2.1321,inf
4MG8,540-97-6_min,27J_redock_4MG8,0.3323,1.4057,inf
4MG8,3930-20-9_min,27J_redock_4MG8,0.3178,1.7011,inf
4MG8,16287-71-1_min,27J_redock_4MG8,0.3135,2.2416,inf
4MG8,69335-91-7_min,27J_redock_4MG8,0.2867,1.8460,inf
4MG8,122-34-9_min,27J_redock_4MG8,0.2544,1.4593,inf
4MG8,7432-28-2_min,27J_redock_4MG8,0.2275,1.5362,inf
4MG8,125-71-3_min,27J_redock_4MG8,0.1743,1.0580,inf
4MG8,134523-00-5_min,27J_redock_4MG8,0.1574,0.9587,inf
4MG9,474-86-2_min,27K_redock_4MG9,0.9712,7.6767,inf
4MG9,53-16-7_min,27K_redock_4MG9,0.9688,7.5254,inf
4MG9,84-16-2_min,27K_redock_4MG9,0.9537,7.6314,inf
4MG9,53-63-4_min,27K_redock_4MG9,0.9406,7.1720,inf
4MG9,34816-55-2_min,27K_redock_4MG9,0.9393,7.6681,inf
4MG9,57-91-0_min,27K_redock_4MG9,0.9335,7.1727,inf
4MG9,57-63-6_min,27K_redock_4MG9,0.9266,7.5236,inf
4MG9,53-43-0_min,27K_redock_4MG9,0.9224,7.1426,inf
4MG9,85-68-7_min,27K_redock_4MG9,0.9146,5.3878,inf
4MG9,5696-58-2_min,27K_redock_4MG9,0.9145,6.8133,inf
4MG9,50-28-2_min,27K_redock_4MG9,0.8953,6.9561,inf
4MG9,103-90-2_min,27K_redock_4MG9,0.8856,4.2575,inf
4MG9,56-53-1_min,27K_redock_4MG9,0.8783,6.9223,inf
4MG9,84057-84-1_min,27K_redock_4MG9,0.8762,6.1838,inf
4MG9,301-02-0_min,27K_redock_4MG9,0.8714,6.6942,inf
4MG9,362-05-0_min,27K_redock_4MG9,0.8546,6.3315,inf
4MG9,84-17-3_min,27K_redock_4MG9,0.8504,6.8071,inf
4MG9,481-29-8_min,27K_redock_4MG9,0.8439,6.4925,inf
4MG9,50-27-1_min,27K_redock_4MG9,0.8422,6.2211,inf
4MG9,738-70-5_min,27K_redock_4MG9,0.8187,5.9700,inf
4MG9,95-14-7_min,27K_redock_4MG9,0.8122,3.0777,inf
4MG9,134-62-3_min,27K_redock_4MG9,0.8028,4.2480,inf
4MG9,5976-61-4_min,27K_redock_4MG9,0.7598,5.6112,inf
4MG9,107534-96-3_min,27K_redock_4MG9,0.7521,5.5680,inf
4MG9,876-04-0_min,27K_redock_4MG9,0.7421,3.4835,inf
4MG9,126-73-8_min,27K_redock_4MG9,0.7301,3.0836,inf
4MG9,15569-85-4_min,27K_redock_4MG9,0.7287,3.9536,inf
4MG9,60207-90-1_min,27K_redock_4MG9,0.6904,4.9427,inf
4MG9,93413-62-8_min,27K_redock_4MG9,0.6833,4.8040,inf
4MG9,2243-62-1_min,27K_redock_4MG9,0.6498,2.8690,inf
4MG9,54-11-5_min,27K_redock_4MG9,0.6483,3.1386,inf
4MG9,298-46-4_min,27K_redock_4MG9,0.6226,3.8419,inf
4MG9,537-46-2_min,27K_redock_4MG9,0.6185,2.8149,inf
4MG9,34014-18-1_min,27K_redock_4MG9,0.6153,3.6011,inf
4MG9,2631-40-5_min,27K_redock_4MG9,0.6059,3.4145,inf
4MG9,72-33-3_min,27K_redock_4MG9,0.6017,4.5243,inf
4MG9,16287-71-1_min,27K_redock_4MG9,0.5758,4.1806,inf
4MG9,42542-10-9_min,27K_redock_4MG9,0.5585,3.0123,inf
4MG9,28721-07-5_min,27K_redock_4MG9,0.5376,3.2380,inf
4MG9,122-34-9_min,27K_redock_4MG9,0.5372,3.0115,inf
4MG9,58-08-2_min,27K_redock_4MG9,0.5318,2.5443,inf
4MG9,144-83-2_min,27K_redock_4MG9,0.5137,3.2851,inf
4MG9,58-73-1_min,27K_redock_4MG9,0.5023,2.9109,inf
4MG9,36507-30-9_min,27K_redock_4MG9,0.4948,2.9507,inf
4MG9,34911-55-2_min,27K_redock_4MG9,0.4825,2.9530,inf
4MG9,97-39-2_min,27K_redock_4MG9,0.4818,3.0875,inf
4MG9,1222-05-5_min,27K_redock_4MG9,0.4810,3.1795,inf
4MG9,14800-24-9_min,27K_redock_4MG9,0.4645,1.7478,inf
4MG9,1912-24-9_min,27K_redock_4MG9,0.4501,2.5585,inf
4MG9,10605-21-7_min,27K_redock_4MG9,0.4426,2.2371,inf
4MG9,525-66-6_min,27K_redock_4MG9,0.4409,2.7892,inf
4MG9,3930-20-9_min,27K_redock_4MG9,0.4213,2.7451,inf
4MG9,5051-22-9_min,27K_redock_4MG9,0.4192,2.6839,inf
4MG9,601-57-0_min,27K_redock_4MG9,0.3856,2.9985,inf
4MG9,541-02-6_min,27K_redock_4MG9,0.3785,1.6320,inf
4MG9,540-97-6_min,27K_redock_4MG9,0.3630,1.5013,inf
4MG9,69335-91-7_min,27K_redock_4MG9,0.3597,2.5129,inf
4MG9,104746-04-5_min,27K_redock_4MG9,0.3393,1.9252,inf
4MG9,29331-92-8_min,27K_redock_4MG9,0.3393,1.9252,inf
4MG9,18684-55-4_min,27K_redock_4MG9,0.3359,2.1889,inf
4MG9,125-71-3_min,27K_redock_4MG9,0.3228,2.0104,inf
4MG9,93413-69-5_min,27K_redock_4MG9,0.2986,1.9061,inf
4MG9,66722-44-9_min,27K_redock_4MG9,0.2903,1.9142,inf
4MG9,58955-93-4_min,27K_redock_4MG9,0.2583,1.3775,inf
4MG9,7432-28-2_min,27K_redock_4MG9,0.2232,1.3937,inf
4MG9,2163-68-0_min,27K_redock_4MG9,0.1779,0.9610,inf
4MG9,7374-53-0_min,27K_redock_4MG9,0.1572,0.8744,inf
4MG9,134523-00-5_min,27K_redock_4MG9,0.1313,0.9490,inf
4MGA,84-16-2_min,27L_redock_4MGA,0.9616,7.6649,inf
4MGA,56-53-1_min,27L_redock_4MGA,0.9563,7.5677,inf
4MGA,474-86-2_min,27L_redock_4MGA,0.9415,7.5886,inf
4MGA,53-16-7_min,27L_redock_4MGA,0.9229,7.3352,inf
4MGA,84057-84-1_min,27L_redock_4MGA,0.9215,6.4918,inf
4MGA,84-17-3_min,27L_redock_4MGA,0.8815,7.1132,inf
4MGA,50-28-2_min,27L_redock_4MGA,0.8808,7.0820,inf
4MGA,53-63-4_min,27L_redock_4MGA,0.8675,6.7053,inf
4MGA,53-43-0_min,27L_redock_4MGA,0.8668,6.8636,inf
4MGA,481-29-8_min,27L_redock_4MGA,0.8444,6.6922,inf
4MGA,103-90-2_min,27L_redock_4MGA,0.8246,4.5230,inf
4MGA,57-91-0_min,27L_redock_4MGA,0.8236,6.5132,inf
4MGA,362-05-0_min,27L_redock_4MGA,0.8169,6.4006,inf
4MGA,5976-61-4_min,27L_redock_4MGA,0.8103,6.0810,inf
4MGA,5696-58-2_min,27L_redock_4MGA,0.7925,5.8177,inf
4MGA,36507-30-9_min,27L_redock_4MGA,0.7768,5.2108,inf
4MGA,85-68-7_min,27L_redock_4MGA,0.7726,4.7297,inf
4MGA,95-14-7_min,27L_redock_4MGA,0.7699,2.9658,inf
4MGA,876-04-0_min,27L_redock_4MGA,0.7639,3.8492,inf
4MGA,93413-62-8_min,27L_redock_4MGA,0.7635,5.1216,inf
4MGA,301-02-0_min,27L_redock_4MGA,0.7621,5.8762,inf
4MGA,15569-85-4_min,27L_redock_4MGA,0.7573,4.1817,inf
4MGA,537-46-2_min,27L_redock_4MGA,0.7525,3.8932,inf
4MGA,134-62-3_min,27L_redock_4MGA,0.7493,3.9912,inf
4MGA,738-70-5_min,27L_redock_4MGA,0.7448,5.4718,inf
4MGA,50-27-1_min,27L_redock_4MGA,0.7427,5.7058,inf
4MGA,57-63-6_min,27L_redock_4MGA,0.7267,5.4937,inf
4MGA,2631-40-5_min,27L_redock_4MGA,0.7182,4.3603,inf
4MGA,126-73-8_min,27L_redock_4MGA,0.6990,3.1271,inf
4MGA,34816-55-2_min,27L_redock_4MGA,0.6626,5.0702,inf
4MGA,144-83-2_min,27L_redock_4MGA,0.6381,4.0222,inf
4MGA,54-11-5_min,27L_redock_4MGA,0.6339,3.3112,inf
4MGA,58-08-2_min,27L_redock_4MGA,0.6213,3.1910,inf
4MGA,1912-24-9_min,27L_redock_4MGA,0.6205,3.8462,inf
4MGA,42542-10-9_min,27L_redock_4MGA,0.6144,3.1934,inf
4MGA,2243-62-1_min,27L_redock_4MGA,0.6030,3.0367,inf
4MGA,58-73-1_min,27L_redock_4MGA,0.5969,3.5862,inf
4MGA,60207-90-1_min,27L_redock_4MGA,0.5561,3.8242,inf
4MGA,34014-18-1_min,27L_redock_4MGA,0.5468,3.3820,inf
4MGA,28721-07-5_min,27L_redock_4MGA,0.5408,3.3438,inf
4MGA,298-46-4_min,27L_redock_4MGA,0.5363,3.5110,inf
4MGA,125-71-3_min,27L_redock_4MGA,0.5304,3.6241,inf
4MGA,107534-96-3_min,27L_redock_4MGA,0.5228,3.9364,inf
4MGA,34911-55-2_min,27L_redock_4MGA,0.5218,3.2251,inf
4MGA,5051-22-9_min,27L_redock_4MGA,0.5205,3.3999,inf
4MGA,14800-24-9_min,27L_redock_4MGA,0.5198,2.1023,inf
4MGA,1222-05-5_min,27L_redock_4MGA,0.5109,3.4005,inf
4MGA,525-66-6_min,27L_redock_4MGA,0.4962,3.2646,inf
4MGA,29331-92-8_min,27L_redock_4MGA,0.4896,3.0406,inf
4MGA,104746-04-5_min,27L_redock_4MGA,0.4896,3.0406,inf
4MGA,122-34-9_min,27L_redock_4MGA,0.4699,2.7635,inf
4MGA,72-33-3_min,27L_redock_4MGA,0.4539,3.3681,inf
4MGA,58955-93-4_min,27L_redock_4MGA,0.4503,2.7777,inf
4MGA,2163-68-0_min,27L_redock_4MGA,0.4491,2.5406,inf
4MGA,93413-69-5_min,27L_redock_4MGA,0.4445,2.8998,inf
4MGA,69335-91-7_min,27L_redock_4MGA,0.4406,2.5382,inf
4MGA,7374-53-0_min,27L_redock_4MGA,0.4375,2.6062,inf
4MGA,10605-21-7_min,27L_redock_4MGA,0.4350,2.3663,inf
4MGA,3930-20-9_min,27L_redock_4MGA,0.4268,2.6930,inf
4MGA,540-97-6_min,27L_redock_4MGA,0.4188,1.8525,inf
4MGA,601-57-0_min,27L_redock_4MGA,0.4174,3.1552,inf
4MGA,541-02-6_min,27L_redock_4MGA,0.4153,1.8936,inf
4MGA,97-39-2_min,27L_redock_4MGA,0.4028,2.5732,inf
4MGA,18684-55-4_min,27L_redock_4MGA,0.3810,2.4516,inf
4MGA,7432-28-2_min,27L_redock_4MGA,0.3027,1.9448,inf
4MGA,16287-71-1_min,27L_redock_4MGA,0.2913,2.0657,inf
4MGA,66722-44-9_min,27L_redock_4MGA,0.2854,1.8180,inf
4MGA,134523-00-5_min,27L_redock_4MGA,0.1880,1.2271,inf
4MGC,53-16-7_min,27M_redock_4MGC,0.9704,7.8600,inf
4MGC,84-16-2_min,27M_redock_4MGC,0.9603,7.8987,inf
4MGC,56-53-1_min,27M_redock_4MGC,0.9598,7.8891,inf
4MGC,5696-58-2_min,27M_redock_4MGC,0.9594,7.3787,inf
4MGC,50-28-2_min,27M_redock_4MGC,0.9593,7.8159,inf
4MGC,84-17-3_min,27M_redock_4MGC,0.9502,7.7883,inf
4MGC,53-63-4_min,27M_redock_4MGC,0.9501,7.4317,inf
4MGC,53-43-0_min,27M_redock_4MGC,0.9474,7.7991,inf
4MGC,474-86-2_min,27M_redock_4MGC,0.9474,7.3999,inf
4MGC,57-91-0_min,27M_redock_4MGC,0.9446,7.5561,inf
4MGC,481-29-8_min,27M_redock_4MGC,0.9315,7.6181,inf
4MGC,362-05-0_min,27M_redock_4MGC,0.9143,7.0167,inf
4MGC,84057-84-1_min,27M_redock_4MGC,0.8574,6.1284,inf
4MGC,50-27-1_min,27M_redock_4MGC,0.8528,6.4126,inf
4MGC,5976-61-4_min,27M_redock_4MGC,0.8214,6.0248,inf
4MGC,103-90-2_min,27M_redock_4MGC,0.8175,4.4835,inf
4MGC,85-68-7_min,27M_redock_4MGC,0.8132,5.2867,inf
4MGC,15569-85-4_min,27M_redock_4MGC,0.8006,4.2828,inf
4MGC,876-04-0_min,27M_redock_4MGC,0.8000,3.9651,inf
4MGC,134-62-3_min,27M_redock_4MGC,0.7976,3.9764,inf
4MGC,57-63-6_min,27M_redock_4MGC,0.7943,6.2074,inf
4MGC,34816-55-2_min,27M_redock_4MGC,0.7537,5.9351,inf
4MGC,42542-10-9_min,27M_redock_4MGC,0.7216,4.4599,inf
4MGC,95-14-7_min,27M_redock_4MGC,0.7153,2.5727,inf
4MGC,738-70-5_min,27M_redock_4MGC,0.7145,5.0478,inf
4MGC,97-39-2_min,27M_redock_4MGC,0.6993,4.2104,inf
4MGC,93413-62-8_min,27M_redock_4MGC,0.6960,4.9395,inf
4MGC,54-11-5_min,27M_redock_4MGC,0.6892,3.7508,inf
4MGC,28721-07-5_min,27M_redock_4MGC,0.6887,4.3640,inf
4MGC,58-08-2_min,27M_redock_4MGC,0.6804,3.6516,inf
4MGC,2243-62-1_min,27M_redock_4MGC,0.6518,3.0928,inf
4MGC,537-46-2_min,27M_redock_4MGC,0.6446,2.8177,inf
4MGC,126-73-8_min,27M_redock_4MGC,0.6408,2.5409,inf
4MGC,34014-18-1_min,27M_redock_4MGC,0.6287,3.6352,inf
4MGC,69335-91-7_min,27M_redock_4MGC,0.6258,4.3798,inf
4MGC,2631-40-5_min,27M_redock_4MGC,0.6200,3.4752,inf
4MGC,10605-21-7_min,27M_redock_4MGC,0.6091,3.3224,inf
4MGC,298-46-4_min,27M_redock_4MGC,0.5838,3.6448,inf
4MGC,144-83-2_min,27M_redock_4MGC,0.5790,3.6558,inf
4MGC,1222-05-5_min,27M_redock_4MGC,0.5787,3.9890,inf
4MGC,34911-55-2_min,27M_redock_4MGC,0.5664,3.3851,inf
4MGC,29331-92-8_min,27M_redock_4MGC,0.5588,3.3785,inf
4MGC,104746-04-5_min,27M_redock_4MGC,0.5588,3.3785,inf
4MGC,60207-90-1_min,27M_redock_4MGC,0.5485,3.8639,inf
4MGC,36507-30-9_min,27M_redock_4MGC,0.5463,3.1450,inf
4MGC,58-73-1_min,27M_redock_4MGC,0.5238,3.0666,inf
4MGC,601-57-0_min,27M_redock_4MGC,0.5034,3.9928,inf
4MGC,301-02-0_min,27M_redock_4MGC,0.4760,3.4839,inf
4MGC,525-66-6_min,27M_redock_4MGC,0.4656,3.0117,inf
4MGC,14800-24-9_min,27M_redock_4MGC,0.4497,1.7336,inf
4MGC,1912-24-9_min,27M_redock_4MGC,0.4360,2.5385,inf
4MGC,5051-22-9_min,27M_redock_4MGC,0.4303,2.7298,inf
4MGC,122-34-9_min,27M_redock_4MGC,0.4285,2.4325,inf
4MGC,541-02-6_min,27M_redock_4MGC,0.4098,1.8262,inf
4MGC,72-33-3_min,27M_redock_4MGC,0.4093,3.0574,inf
4MGC,107534-96-3_min,27M_redock_4MGC,0.3837,2.6962,inf
4MGC,2163-68-0_min,27M_redock_4MGC,0.3763,2.0084,inf
4MGC,540-97-6_min,27M_redock_4MGC,0.3719,1.6348,inf
4MGC,3930-20-9_min,27M_redock_4MGC,0.3504,2.2287,inf
4MGC,93413-69-5_min,27M_redock_4MGC,0.2948,1.8384,inf
4MGC,18684-55-4_min,27M_redock_4MGC,0.2937,1.7523,inf
4MGC,66722-44-9_min,27M_redock_4MGC,0.2849,1.7650,inf
4MGC,58955-93-4_min,27M_redock_4MGC,0.2805,1.5651,inf
4MGC,125-71-3_min,27M_redock_4MGC,0.2387,1.4428,inf
4MGC,7374-53-0_min,27M_redock_4MGC,0.2353,1.3143,inf
4MGC,7432-28-2_min,27M_redock_4MGC,0.2340,1.4520,inf
4MGC,16287-71-1_min,27M_redock_4MGC,0.2080,1.3546,inf
4MGC,134523-00-5_min,27M_redock_4MGC,0.1605,0.9710,inf
4TUZ,53-16-7_min,36J_redock_4TUZ,0.9782,7.8868,inf
4TUZ,50-28-2_min,36J_redock_4TUZ,0.9705,8.0251,inf
4TUZ,474-86-2_min,36J_redock_4TUZ,0.9684,7.8438,inf
4TUZ,53-63-4_min,36J_redock_4TUZ,0.9626,7.6836,inf
4TUZ,57-91-0_min,36J_redock_4TUZ,0.9626,7.9547,inf
4TUZ,5696-58-2_min,36J_redock_4TUZ,0.9529,7.2718,inf
4TUZ,53-43-0_min,36J_redock_4TUZ,0.9479,7.5804,inf
4TUZ,50-27-1_min,36J_redock_4TUZ,0.9399,7.6100,inf
4TUZ,481-29-8_min,36J_redock_4TUZ,0.9319,7.4774,inf
4TUZ,362-05-0_min,36J_redock_4TUZ,0.9249,7.1641,inf
4TUZ,84-16-2_min,36J_redock_4TUZ,0.9235,7.3405,inf
4TUZ,56-53-1_min,36J_redock_4TUZ,0.9118,7.4040,inf
4TUZ,5976-61-4_min,36J_redock_4TUZ,0.9005,6.9493,inf
4TUZ,85-68-7_min,36J_redock_4TUZ,0.8691,5.4572,inf
4TUZ,84-17-3_min,36J_redock_4TUZ,0.8592,6.8016,inf
4TUZ,84057-84-1_min,36J_redock_4TUZ,0.8552,6.1266,inf
4TUZ,34816-55-2_min,36J_redock_4TUZ,0.8506,7.0605,inf
4TUZ,57-63-6_min,36J_redock_4TUZ,0.8450,7.0344,inf
4TUZ,876-04-0_min,36J_redock_4TUZ,0.7942,3.9885,inf
4TUZ,103-90-2_min,36J_redock_4TUZ,0.7865,3.9183,inf
4TUZ,95-14-7_min,36J_redock_4TUZ,0.7846,3.0230,inf
4TUZ,126-73-8_min,36J_redock_4TUZ,0.7403,3.1488,inf
4TUZ,134-62-3_min,36J_redock_4TUZ,0.7165,3.5366,inf
4TUZ,738-70-5_min,36J_redock_4TUZ,0.6958,5.2536,inf
4TUZ,298-46-4_min,36J_redock_4TUZ,0.6877,4.3644,inf
4TUZ,1222-05-5_min,36J_redock_4TUZ,0.6799,4.5935,inf
4TUZ,2631-40-5_min,36J_redock_4TUZ,0.6642,3.8368,inf
4TUZ,93413-62-8_min,36J_redock_4TUZ,0.6432,4.4628,inf
4TUZ,301-02-0_min,36J_redock_4TUZ,0.6214,4.7389,inf
4TUZ,2243-62-1_min,36J_redock_4TUZ,0.6125,2.8201,inf
4TUZ,15569-85-4_min,36J_redock_4TUZ,0.6095,3.1888,inf
4TUZ,34014-18-1_min,36J_redock_4TUZ,0.6070,3.8853,inf
4TUZ,104746-04-5_min,36J_redock_4TUZ,0.6012,3.6435,inf
4TUZ,29331-92-8_min,36J_redock_4TUZ,0.6012,3.6435,inf
4TUZ,60207-90-1_min,36J_redock_4TUZ,0.6004,4.3809,inf
4TUZ,28721-07-5_min,36J_redock_4TUZ,0.5833,3.6814,inf
4TUZ,36507-30-9_min,36J_redock_4TUZ,0.5696,3.7374,inf
4TUZ,34911-55-2_min,36J_redock_4TUZ,0.5610,3.4922,inf
4TUZ,58-08-2_min,36J_redock_4TUZ,0.5542,2.7015,inf
4TUZ,537-46-2_min,36J_redock_4TUZ,0.5472,2.4540,inf
4TUZ,42542-10-9_min,36J_redock_4TUZ,0.5445,2.7249,inf
4TUZ,601-57-0_min,36J_redock_4TUZ,0.5240,4.1840,inf
4TUZ,144-83-2_min,36J_redock_4TUZ,0.4893,2.7638,inf
4TUZ,72-33-3_min,36J_redock_4TUZ,0.4580,3.4749,inf
4TUZ,107534-96-3_min,36J_redock_4TUZ,0.4574,3.2857,inf
4TUZ,525-66-6_min,36J_redock_4TUZ,0.4396,2.6724,inf
4TUZ,97-39-2_min,36J_redock_4TUZ,0.4241,2.7966,inf
4TUZ,18684-55-4_min,36J_redock_4TUZ,0.4099,2.7353,inf
4TUZ,1912-24-9_min,36J_redock_4TUZ,0.4082,2.3166,inf
4TUZ,14800-24-9_min,36J_redock_4TUZ,0.3987,1.4730,inf
4TUZ,122-34-9_min,36J_redock_4TUZ,0.3936,2.2673,inf
4TUZ,58-73-1_min,36J_redock_4TUZ,0.3873,2.1470,inf
4TUZ,54-11-5_min,36J_redock_4TUZ,0.3835,1.9942,inf
4TUZ,10605-21-7_min,36J_redock_4TUZ,0.3797,2.0059,inf
4TUZ,541-02-6_min,36J_redock_4TUZ,0.3704,1.6157,inf
4TUZ,5051-22-9_min,36J_redock_4TUZ,0.3635,2.1861,inf
4TUZ,7374-53-0_min,36J_redock_4TUZ,0.3515,1.9691,inf
4TUZ,540-97-6_min,36J_redock_4TUZ,0.3425,1.4784,inf
4TUZ,2163-68-0_min,36J_redock_4TUZ,0.3284,1.6840,inf
4TUZ,58955-93-4_min,36J_redock_4TUZ,0.3270,1.9708,inf
4TUZ,66722-44-9_min,36J_redock_4TUZ,0.3236,1.9535,inf
4TUZ,3930-20-9_min,36J_redock_4TUZ,0.3217,1.3948,inf
4TUZ,7432-28-2_min,36J_redock_4TUZ,0.3209,2.1029,inf
4TUZ,93413-69-5_min,36J_redock_4TUZ,0.2851,1.8065,inf
4TUZ,69335-91-7_min,36J_redock_4TUZ,0.2806,1.5632,inf
4TUZ,16287-71-1_min,36J_redock_4TUZ,0.2271,1.4918,inf
4TUZ,134523-00-5_min,36J_redock_4TUZ,0.2254,1.7078,inf
4TUZ,125-71-3_min,36J_redock_4TUZ,0.2094,1.3640,inf
4ZN7,84-16-2_min,DES_redock_4ZN7,0.9858,8.3861,2.3310
4ZN7,84-17-3_min,DES_redock_4ZN7,0.9849,8.4305,0.5522
4ZN7,53-16-7_min,DES_redock_4ZN7,0.9848,8.0464,inf
4ZN7,56-53-1_min,DES_redock_4ZN7,0.9824,8.3163,0.4520
4ZN7,50-28-2_min,DES_redock_4ZN7,0.9763,8.3095,inf
4ZN7,57-91-0_min,DES_redock_4ZN7,0.9754,8.0391,inf
4ZN7,474-86-2_min,DES_redock_4ZN7,0.9713,8.1406,inf
4ZN7,53-63-4_min,DES_redock_4ZN7,0.9709,7.8754,inf
4ZN7,5696-58-2_min,DES_redock_4ZN7,0.9641,7.5150,inf
4ZN7,53-43-0_min,DES_redock_4ZN7,0.9581,7.8363,inf
4ZN7,50-27-1_min,DES_redock_4ZN7,0.9533,7.9881,inf
4ZN7,481-29-8_min,DES_redock_4ZN7,0.9397,7.5241,inf
4ZN7,84057-84-1_min,DES_redock_4ZN7,0.9372,6.9242,inf
4ZN7,5976-61-4_min,DES_redock_4ZN7,0.9169,7.4652,inf
4ZN7,362-05-0_min,DES_redock_4ZN7,0.9116,7.2814,inf
4ZN7,738-70-5_min,DES_redock_4ZN7,0.9099,7.0428,inf
4ZN7,57-63-6_min,DES_redock_4ZN7,0.8767,7.2867,inf
4ZN7,34816-55-2_min,DES_redock_4ZN7,0.8763,7.3901,inf
4ZN7,103-90-2_min,DES_redock_4ZN7,0.8666,4.1858,inf
4ZN7,15569-85-4_min,DES_redock_4ZN7,0.8610,4.8374,inf
4ZN7,301-02-0_min,DES_redock_4ZN7,0.8496,6.8648,inf
4ZN7,95-14-7_min,DES_redock_4ZN7,0.8308,3.2065,inf
4ZN7,876-04-0_min,DES_redock_4ZN7,0.8218,3.9150,inf
4ZN7,93413-62-8_min,DES_redock_4ZN7,0.7665,5.6746,inf
4ZN7,58-08-2_min,DES_redock_4ZN7,0.7552,4.0611,inf
4ZN7,54-11-5_min,DES_redock_4ZN7,0.7367,3.7779,inf
4ZN7,42542-10-9_min,DES_redock_4ZN7,0.7342,4.3018,inf
4ZN7,134-62-3_min,DES_redock_4ZN7,0.7017,3.5071,inf
4ZN7,72-33-3_min,DES_redock_4ZN7,0.6665,5.3277,inf
