protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD
3UU7,95-14-7_min,2OH_redock_3UU7,0.8069,3.1023,inf
3UU7,362-05-0_min,2OH_redock_3UU7,0.7985,6.1983,inf
3UU7,85-68-7_min,2OH_redock_3UU7,0.7958,4.6701,inf
3UU7,134-62-3_min,2OH_redock_3UU7,0.7885,3.9240,inf
3UU7,58-73-1_min,2OH_redock_3UU7,0.7851,4.7294,inf
3UU7,34014-18-1_min,2OH_redock_3UU7,0.7812,4.7645,inf
3UU7,301-02-0_min,2OH_redock_3UU7,0.7715,5.8898,inf
3UU7,103-90-2_min,2OH_redock_3UU7,0.7692,3.9573,inf
3UU7,93413-62-8_min,2OH_redock_3UU7,0.7677,5.3235,inf
3UU7,126-73-8_min,2OH_redock_3UU7,0.7326,2.9820,inf
3UU7,34816-55-2_min,2OH_redock_3UU7,0.7283,5.7800,inf
3UU7,107534-96-3_min,2OH_redock_3UU7,0.6998,5.3591,inf
3UU7,36507-30-9_min,2OH_redock_3UU7,0.6817,4.3545,inf
3UU7,15569-85-4_min,2OH_redock_3UU7,0.6618,3.4842,inf
3UU7,298-46-4_min,2OH_redock_3UU7,0.6600,4.2596,inf
3UU7,69335-91-7_min,2OH_redock_3UU7,0.6587,4.6076,inf
3UU7,876-04-0_min,2OH_redock_3UU7,0.6571,3.1366,inf
3UU7,42542-10-9_min,2OH_redock_3UU7,0.6471,4.0123,inf
3UU7,54-11-5_min,2OH_redock_3UU7,0.6343,3.2967,inf
3UU7,57-63-6_min,2OH_redock_3UU7,0.6127,4.7404,inf
3UU7,58-08-2_min,2OH_redock_3UU7,0.6038,3.1630,inf
3UU7,537-46-2_min,2OH_redock_3UU7,0.5950,3.0730,inf
3UU7,144-83-2_min,2OH_redock_3UU7,0.5870,3.8661,inf
3UU7,601-57-0_min,2OH_redock_3UU7,0.5846,4.7166,inf
3UU7,1222-05-5_min,2OH_redock_3UU7,0.5824,3.7487,inf
3UU7,72-33-3_min,2OH_redock_3UU7,0.5783,4.4925,inf
3UU7,2243-62-1_min,2OH_redock_3UU7,0.5771,3.0586,inf
3UU7,5051-22-9_min,2OH_redock_3UU7,0.5766,3.6388,inf
3UU7,125-71-3_min,2OH_redock_3UU7,0.5463,3.7028,inf
3UU7,525-66-6_min,2OH_redock_3UU7,0.5180,3.2544,inf
3UU7,14800-24-9_min,2OH_redock_3UU7,0.5126,2.0153,inf
3UU7,93413-69-5_min,2OH_redock_3UU7,0.4983,3.2606,inf
3UU7,28721-07-5_min,2OH_redock_3UU7,0.4901,3.0614,inf
3UU7,1912-24-9_min,2OH_redock_3UU7,0.4725,2.7378,inf
3UU7,34911-55-2_min,2OH_redock_3UU7,0.4151,2.4366,inf
3UU7,122-34-9_min,2OH_redock_3UU7,0.4119,2.4017,inf
3UU7,18684-55-4_min,2OH_redock_3UU7,0.4035,2.6823,inf
3UU7,10605-21-7_min,2OH_redock_3UU7,0.3935,1.9964,inf
3UU7,58955-93-4_min,2OH_redock_3UU7,0.3842,2.3848,inf
3UU7,97-39-2_min,2OH_redock_3UU7,0.3823,2.3771,inf
3UU7,540-97-6_min,2OH_redock_3UU7,0.3712,1.6935,inf
3UU7,3930-20-9_min,2OH_redock_3UU7,0.3654,2.2101,inf
