protein,ideal_ligand,native_ligand,CNN_pose,CNN_VS,RMSD,affinity
3UU7,93413-69-5_min,2OH_redock_3UU7,0.4983,3.2606,inf,-7.1150
3UU7,28721-07-5_min,2OH_redock_3UU7,0.4901,3.0614,inf,-7.8703
3UU7,1912-24-9_min,2OH_redock_3UU7,0.4725,2.7378,inf,-5.7907
3UU7,34911-55-2_min,2OH_redock_3UU7,0.4151,2.4366,inf,-6.6016
3UU7,122-34-9_min,2OH_redock_3UU7,0.4119,2.4017,inf,-4.6978
3UU7,18684-55-4_min,2OH_redock_3UU7,0.4035,2.6823,inf,-6.8515
3UU7,10605-21-7_min,2OH_redock_3UU7,0.3935,1.9964,inf,-5.1141
3UU7,58955-93-4_min,2OH_redock_3UU7,0.3842,2.3848,inf,-5.8307
3UU7,97-39-2_min,2OH_redock_3UU7,0.3823,2.3771,inf,-2.4870
3UU7,540-97-6_min,2OH_redock_3UU7,0.3712,1.6935,inf,17.7422
3UU7,3930-20-9_min,2OH_redock_3UU7,0.3654,2.2101,inf,-6.5624
3UU7,29331-92-8_min,2OH_redock_3UU7,0.3644,2.1873,inf,-6.6748
3UU7,104746-04-5_min,2OH_redock_3UU7,0.3644,2.1873,inf,-6.6748
3UU7,541-02-6_min,2OH_redock_3UU7,0.3573,1.6687,inf,12.8586
3UU7,7432-28-2_min,2OH_redock_3UU7,0.3353,2.0441,inf,19.2739
3UU7,7374-53-0_min,2OH_redock_3UU7,0.3075,1.8218,inf,-6.1679
3UU7,66722-44-9_min,2OH_redock_3UU7,0.2973,1.8124,inf,-6.5248
3UU7,2163-68-0_min,2OH_redock_3UU7,0.2427,1.2882,inf,-5.5045
3UU7,16287-71-1_min,2OH_redock_3UU7,0.2282,1.5664,inf,-6.4748
3UU7,134523-00-5_min,2OH_redock_3UU7,0.1614,1.1344,inf,0.7500
3UUD,53-16-7_min,EST_redock_3UUD,0.9910,7.9487,0.6762,-11.4745
3UUD,474-86-2_min,EST_redock_3UUD,0.9880,7.9237,0.7848,-10.9224
3UUD,50-28-2_min,EST_redock_3UUD,0.9860,8.0865,0.6127,-11.5033
3UUD,50-27-1_min,EST_redock_3UUD,0.9838,8.1722,0.3222,-11.5237
3UUD,57-91-0_min,EST_redock_3UUD,0.9814,7.9788,0.6730,-11.4207
3UUD,53-63-4_min,EST_redock_3UUD,0.9753,7.6183,inf,-10.7211
3UUD,5696-58-2_min,EST_redock_3UUD,0.9733,7.3823,0.5129,-11.1381
3UUD,53-43-0_min,EST_redock_3UUD,0.9689,7.8612,0.6143,-11.0268
3UUD,84-16-2_min,EST_redock_3UUD,0.9631,7.9807,inf,-8.4459
3UUD,481-29-8_min,EST_redock_3UUD,0.9585,7.7839,0.5866,-10.9448
3UUD,362-05-0_min,EST_redock_3UUD,0.9584,7.5353,0.5940,-11.7971
3UUD,5976-61-4_min,EST_redock_3UUD,0.9582,7.7376,0.4087,-11.1856
3UUD,56-53-1_min,EST_redock_3UUD,0.9387,7.6332,inf,-8.6532
3UUD,84-17-3_min,EST_redock_3UUD,0.9272,7.6365,inf,-8.5730
3UUD,84057-84-1_min,EST_redock_3UUD,0.9244,6.5629,inf,-7.6302
3UUD,34816-55-2_min,EST_redock_3UUD,0.9219,7.5007,0.8700,-8.9201
3UUD,103-90-2_min,EST_redock_3UUD,0.9090,4.3868,inf,-5.9343
3UUD,57-63-6_min,EST_redock_3UUD,0.8895,7.2912,0.8209,-9.2081
3UUD,738-70-5_min,EST_redock_3UUD,0.8703,6.5398,inf,-7.7057
3UUD,93413-62-8_min,EST_redock_3UUD,0.8512,6.0668,inf,-8.3674
3UUD,85-68-7_min,EST_redock_3UUD,0.8482,5.2605,inf,-7.9139
3UUD,95-14-7_min,EST_redock_3UUD,0.8476,3.2555,inf,-5.5778
3UUD,126-73-8_min,EST_redock_3UUD,0.7838,3.1850,inf,-5.2537
3UUD,876-04-0_min,EST_redock_3UUD,0.7806,3.9664,inf,-5.8746
3UUD,601-57-0_min,EST_redock_3UUD,0.7608,6.1723,inf,3.4555
3UUD,301-02-0_min,EST_redock_3UUD,0.7585,5.7713,inf,-6.5015
3UUD,2631-40-5_min,EST_redock_3UUD,0.7311,4.3161,inf,-5.9672
3UUD,15569-85-4_min,EST_redock_3UUD,0.7290,3.8754,inf,-6.3898
3UUD,134-62-3_min,EST_redock_3UUD,0.7230,3.6650,inf,-6.4417
3UUD,2243-62-1_min,EST_redock_3UUD,0.6983,3.1993,inf,-6.8072
3UUD,2163-68-0_min,EST_redock_3UUD,0.6957,3.8323,inf,-5.6915
3UUD,58-08-2_min,EST_redock_3UUD,0.6743,3.4597,inf,-5.6631
3UUD,104746-04-5_min,EST_redock_3UUD,0.6506,4.1810,inf,-8.2284
3UUD,29331-92-8_min,EST_redock_3UUD,0.6506,4.1810,inf,-8.2284
3UUD,54-11-5_min,EST_redock_3UUD,0.6489,3.1500,inf,-5.9436
3UUD,34014-18-1_min,EST_redock_3UUD,0.6462,4.0543,inf,-5.7545
3UUD,58-73-1_min,EST_redock_3UUD,0.6356,3.5991,inf,-7.1155
3UUD,36507-30-9_min,EST_redock_3UUD,0.6207,3.9204,inf,-7.3825
3UUD,298-46-4_min,EST_redock_3UUD,0.6089,3.8611,inf,-8.8862
3UUD,537-46-2_min,EST_redock_3UUD,0.6032,2.7489,inf,-5.2596
3UUD,144-83-2_min,EST_redock_3UUD,0.5871,3.6053,inf,-7.5679
3UUD,69335-91-7_min,EST_redock_3UUD,0.5790,3.6264,inf,8.6897
3UUD,7374-53-0_min,EST_redock_3UUD,0.5659,3.1997,inf,-6.0230
3UUD,18684-55-4_min,EST_redock_3UUD,0.5562,3.6595,inf,-6.6252
3UUD,1222-05-5_min,EST_redock_3UUD,0.5426,3.6814,inf,-8.8459
3UUD,60207-90-1_min,EST_redock_3UUD,0.5426,4.0146,inf,-6.4169
3UUD,28721-07-5_min,EST_redock_3UUD,0.5147,3.2994,inf,-8.5617
3UUD,58955-93-4_min,EST_redock_3UUD,0.5122,3.0730,inf,-8.0342
3UUD,14800-24-9_min,EST_redock_3UUD,0.5053,1.7861,inf,-5.3696
3UUD,42542-10-9_min,EST_redock_3UUD,0.4638,2.4324,inf,-6.0684
3UUD,34911-55-2_min,EST_redock_3UUD,0.4557,2.7964,inf,-6.1085
3UUD,72-33-3_min,EST_redock_3UUD,0.4481,3.3446,0.6682,-7.1009
3UUD,10605-21-7_min,EST_redock_3UUD,0.4365,2.3685,inf,-6.3414
3UUD,107534-96-3_min,EST_redock_3UUD,0.4062,2.9075,inf,-6.4214
3UUD,97-39-2_min,EST_redock_3UUD,0.3636,2.3179,inf,-7.9810
3UUD,3930-20-9_min,EST_redock_3UUD,0.3524,2.1276,inf,-5.5444
3UUD,93413-69-5_min,EST_redock_3UUD,0.3519,2.2497,inf,-7.6070
3UUD,1912-24-9_min,EST_redock_3UUD,0.3514,1.9885,inf,-5.7072
3UUD,134523-00-5_min,EST_redock_3UUD,0.3508,2.3890,inf,18.9848
3UUD,66722-44-9_min,EST_redock_3UUD,0.3484,2.2149,inf,-6.5510
3UUD,5051-22-9_min,EST_redock_3UUD,0.3467,2.0708,inf,-7.8536
3UUD,541-02-6_min,EST_redock_3UUD,0.3390,1.4188,inf,9.4843
3UUD,525-66-6_min,EST_redock_3UUD,0.3358,2.0427,inf,-6.7668
3UUD,122-34-9_min,EST_redock_3UUD,0.3084,1.6781,inf,-4.9745
3UUD,540-97-6_min,EST_redock_3UUD,0.2835,1.1429,inf,8.9003
3UUD,16287-71-1_min,EST_redock_3UUD,0.2199,1.5630,inf,-6.1659
3UUD,125-71-3_min,EST_redock_3UUD,0.2184,1.3513,inf,-5.2287
3UUD,7432-28-2_min,EST_redock_3UUD,0.1878,1.1671,inf,11.7309
4MG8,53-16-7_min,27J_redock_4MG8,0.9834,7.8600,inf,-11.1887
4MG8,474-86-2_min,27J_redock_4MG8,0.9801,8.0075,inf,-10.9286
4MG8,50-28-2_min,27J_redock_4MG8,0.9739,7.8377,inf,-11.3130
4MG8,57-91-0_min,27J_redock_4MG8,0.9694,7.5932,inf,-11.1204
4MG8,50-27-1_min,27J_redock_4MG8,0.9578,7.6013,inf,-11.3093
4MG8,53-63-4_min,27J_redock_4MG8,0.9538,7.2127,inf,-10.8041
4MG8,5696-58-2_min,27J_redock_4MG8,0.9522,7.2254,inf,-11.0406
4MG8,362-05-0_min,27J_redock_4MG8,0.9490,7.4277,inf,-11.8197
4MG8,5976-61-4_min,27J_redock_4MG8,0.9436,7.4555,inf,-10.9827
4MG8,84-16-2_min,27J_redock_4MG8,0.9435,7.4909,inf,-8.6755
4MG8,56-53-1_min,27J_redock_4MG8,0.9314,7.4113,inf,-8.9081
4MG8,103-90-2_min,27J_redock_4MG8,0.9078,4.2666,inf,-6.1922
4MG8,84-17-3_min,27J_redock_4MG8,0.8753,6.9597,inf,-8.9543
4MG8,57-63-6_min,27J_redock_4MG8,0.8705,7.2609,inf,-8.4781
4MG8,481-29-8_min,27J_redock_4MG8,0.8691,6.8189,inf,-10.5464
4MG8,84057-84-1_min,27J_redock_4MG8,0.8542,6.1525,inf,-6.7209
4MG8,53-43-0_min,27J_redock_4MG8,0.8148,6.4546,inf,-10.4709
4MG8,95-14-7_min,27J_redock_4MG8,0.7909,3.0423,inf,-5.4719
4MG8,34816-55-2_min,27J_redock_4MG8,0.7908,6.1761,inf,-7.3930
4MG8,85-68-7_min,27J_redock_4MG8,0.7848,4.8203,inf,-8.3788
4MG8,876-04-0_min,27J_redock_4MG8,0.7697,3.9026,inf,-6.1033
4MG8,93413-62-8_min,27J_redock_4MG8,0.7470,5.1407,inf,-7.7779
4MG8,2243-62-1_min,27J_redock_4MG8,0.7403,3.3861,inf,-7.1250
4MG8,738-70-5_min,27J_redock_4MG8,0.7343,5.4435,inf,-7.8837
4MG8,134-62-3_min,27J_redock_4MG8,0.6926,3.5809,inf,-6.3795
4MG8,15569-85-4_min,27J_redock_4MG8,0.6258,3.3258,inf,-5.5867
4MG8,601-57-0_min,27J_redock_4MG8,0.6257,4.9072,inf,0.6038
4MG8,301-02-0_min,27J_redock_4MG8,0.6255,4.6752,inf,-6.5927
4MG8,126-73-8_min,27J_redock_4MG8,0.6133,2.6321,inf,-5.5967
4MG8,537-46-2_min,27J_redock_4MG8,0.6109,2.7282,inf,-5.2150
4MG8,28721-07-5_min,27J_redock_4MG8,0.6105,3.9058,inf,-6.1352
4MG8,525-66-6_min,27J_redock_4MG8,0.6073,3.9637,inf,-7.5237
4MG8,54-11-5_min,27J_redock_4MG8,0.5961,3.0341,inf,-5.7970
4MG8,34014-18-1_min,27J_redock_4MG8,0.5961,3.5742,inf,-5.6655
4MG8,2631-40-5_min,27J_redock_4MG8,0.5901,3.4986,inf,-5.8248
4MG8,60207-90-1_min,27J_redock_4MG8,0.5822,4.2665,inf,-7.8605
4MG8,298-46-4_min,27J_redock_4MG8,0.5699,3.4462,inf,-8.4669
4MG8,29331-92-8_min,27J_redock_4MG8,0.5616,3.3473,inf,-9.2320
4MG8,104746-04-5_min,27J_redock_4MG8,0.5616,3.3473,inf,-9.2320
4MG8,36507-30-9_min,27J_redock_4MG8,0.5568,3.5656,inf,-7.0476
4MG8,14800-24-9_min,27J_redock_4MG8,0.5540,2.1053,inf,-5.4171
4MG8,72-33-3_min,27J_redock_4MG8,0.5535,4.2746,inf,-5.8717
4MG8,10605-21-7_min,27J_redock_4MG8,0.5472,2.7593,inf,-6.4103
4MG8,58-08-2_min,27J_redock_4MG8,0.5456,2.7882,inf,-5.5833
4MG8,1222-05-5_min,27J_redock_4MG8,0.5456,3.6649,inf,-8.6678
4MG8,107534-96-3_min,27J_redock_4MG8,0.5292,3.9535,inf,-6.5388
4MG8,42542-10-9_min,27J_redock_4MG8,0.5179,2.7357,inf,-5.6158
4MG8,5051-22-9_min,27J_redock_4MG8,0.4989,3.2381,inf,-6.7889
4MG8,97-39-2_min,27J_redock_4MG8,0.4938,3.3334,inf,-8.3986
4MG8,58-73-1_min,27J_redock_4MG8,0.4876,2.7620,inf,-7.7815
4MG8,58955-93-4_min,27J_redock_4MG8,0.4526,2.5880,inf,-5.6975
4MG8,34911-55-2_min,27J_redock_4MG8,0.4487,2.7425,inf,-6.8575
4MG8,144-83-2_min,27J_redock_4MG8,0.4435,2.5164,inf,-7.7978
4MG8,541-02-6_min,27J_redock_4MG8,0.4070,1.7662,inf,10.0976
4MG8,7374-53-0_min,27J_redock_4MG8,0.3805,2.1548,inf,-5.6272
4MG8,18684-55-4_min,27J_redock_4MG8,0.3621,2.3971,inf,-7.6915
4MG8,2163-68-0_min,27J_redock_4MG8,0.3588,2.0230,inf,-4.8548
4MG8,1912-24-9_min,27J_redock_4MG8,0.3544,2.0938,inf,-5.3507
4MG8,66722-44-9_min,27J_redock_4MG8,0.3453,2.0406,inf,-6.9756
4MG8,93413-69-5_min,27J_redock_4MG8,0.3325,2.1321,inf,-8.1447
4MG8,540-97-6_min,27J_redock_4MG8,0.3323,1.4057,inf,22.9188
4MG8,3930-20-9_min,27J_redock_4MG8,0.3178,1.7011,inf,-6.9995
4MG8,16287-71-1_min,27J_redock_4MG8,0.3135,2.2416,inf,-6.4593
4MG8,69335-91-7_min,27J_redock_4MG8,0.2867,1.8460,inf,-5.0130
4MG8,122-34-9_min,27J_redock_4MG8,0.2544,1.4593,inf,-4.7914
4MG8,7432-28-2_min,27J_redock_4MG8,0.2275,1.5362,inf,-3.9819
4MG8,125-71-3_min,27J_redock_4MG8,0.1743,1.0580,inf,-7.8098
4MG8,134523-00-5_min,27J_redock_4MG8,0.1574,0.9587,inf,10.6628
4MG9,474-86-2_min,27K_redock_4MG9,0.9712,7.6767,inf,-10.9624
4MG9,53-16-7_min,27K_redock_4MG9,0.9688,7.5254,inf,-10.9044
4MG9,84-16-2_min,27K_redock_4MG9,0.9537,7.6314,inf,-8.5458
4MG9,53-63-4_min,27K_redock_4MG9,0.9406,7.1720,inf,-10.5788
4MG9,34816-55-2_min,27K_redock_4MG9,0.9393,7.6681,inf,-9.9674
4MG9,57-91-0_min,27K_redock_4MG9,0.9335,7.1727,inf,-10.8850
4MG9,57-63-6_min,27K_redock_4MG9,0.9266,7.5236,inf,-10.1471
4MG9,53-43-0_min,27K_redock_4MG9,0.9224,7.1426,inf,-10.4321
4MG9,85-68-7_min,27K_redock_4MG9,0.9146,5.3878,inf,-8.1456
4MG9,5696-58-2_min,27K_redock_4MG9,0.9145,6.8133,inf,-10.2764
4MG9,50-28-2_min,27K_redock_4MG9,0.8953,6.9561,inf,-9.3755
4MG9,103-90-2_min,27K_redock_4MG9,0.8856,4.2575,inf,-5.9254
4MG9,56-53-1_min,27K_redock_4MG9,0.8783,6.9223,inf,-8.4314
4MG9,84057-84-1_min,27K_redock_4MG9,0.8762,6.1838,inf,-7.4717
4MG9,301-02-0_min,27K_redock_4MG9,0.8714,6.6942,inf,-6.1488
4MG9,362-05-0_min,27K_redock_4MG9,0.8546,6.3315,inf,-10.9054
4MG9,84-17-3_min,27K_redock_4MG9,0.8504,6.8071,inf,-8.6564
4MG9,481-29-8_min,27K_redock_4MG9,0.8439,6.4925,inf,-10.5943
4MG9,50-27-1_min,27K_redock_4MG9,0.8422,6.2211,inf,-11.2178
4MG9,738-70-5_min,27K_redock_4MG9,0.8187,5.9700,inf,-7.0154
4MG9,95-14-7_min,27K_redock_4MG9,0.8122,3.0777,inf,-5.3412
4MG9,134-62-3_min,27K_redock_4MG9,0.8028,4.2480,inf,-6.1129
4MG9,5976-61-4_min,27K_redock_4MG9,0.7598,5.6112,inf,-10.2022
4MG9,107534-96-3_min,27K_redock_4MG9,0.7521,5.5680,inf,-7.4970
4MG9,876-04-0_min,27K_redock_4MG9,0.7421,3.4835,inf,-5.4580
4MG9,126-73-8_min,27K_redock_4MG9,0.7301,3.0836,inf,-5.5776
4MG9,15569-85-4_min,27K_redock_4MG9,0.7287,3.9536,inf,-6.4415
4MG9,60207-90-1_min,27K_redock_4MG9,0.6904,4.9427,inf,-6.6145
4MG9,93413-62-8_min,27K_redock_4MG9,0.6833,4.8040,inf,-8.1011
4MG9,2243-62-1_min,27K_redock_4MG9,0.6498,2.8690,inf,-6.9134
4MG9,54-11-5_min,27K_redock_4MG9,0.6483,3.1386,inf,-5.5568
4MG9,298-46-4_min,27K_redock_4MG9,0.6226,3.8419,inf,-9.5656
4MG9,537-46-2_min,27K_redock_4MG9,0.6185,2.8149,inf,-5.1738
4MG9,34014-18-1_min,27K_redock_4MG9,0.6153,3.6011,inf,-5.7266
4MG9,2631-40-5_min,27K_redock_4MG9,0.6059,3.4145,inf,-5.8415
4MG9,72-33-3_min,27K_redock_4MG9,0.6017,4.5243,inf,-7.9435
4MG9,16287-71-1_min,27K_redock_4MG9,0.5758,4.1806,inf,-6.1077
4MG9,42542-10-9_min,27K_redock_4MG9,0.5585,3.0123,inf,-5.7425
4MG9,28721-07-5_min,27K_redock_4MG9,0.5376,3.2380,inf,-9.1554
4MG9,122-34-9_min,27K_redock_4MG9,0.5372,3.0115,inf,-4.8440
4MG9,58-08-2_min,27K_redock_4MG9,0.5318,2.5443,inf,-5.3326
4MG9,144-83-2_min,27K_redock_4MG9,0.5137,3.2851,inf,-7.5928
4MG9,58-73-1_min,27K_redock_4MG9,0.5023,2.9109,inf,-7.1770
4MG9,36507-30-9_min,27K_redock_4MG9,0.4948,2.9507,inf,-9.3832
4MG9,34911-55-2_min,27K_redock_4MG9,0.4825,2.9530,inf,-6.4771
4MG9,97-39-2_min,27K_redock_4MG9,0.4818,3.0875,inf,-8.3880
4MG9,1222-05-5_min,27K_redock_4MG9,0.4810,3.1795,inf,-8.7981
4MG9,14800-24-9_min,27K_redock_4MG9,0.4645,1.7478,inf,-5.2980
4MG9,1912-24-9_min,27K_redock_4MG9,0.4501,2.5585,inf,-5.5582
4MG9,10605-21-7_min,27K_redock_4MG9,0.4426,2.2371,inf,-5.4223
4MG9,525-66-6_min,27K_redock_4MG9,0.4409,2.7892,inf,-7.5196
4MG9,3930-20-9_min,27K_redock_4MG9,0.4213,2.7451,inf,-6.5180
4MG9,5051-22-9_min,27K_redock_4MG9,0.4192,2.6839,inf,-7.4976
4MG9,601-57-0_min,27K_redock_4MG9,0.3856,2.9985,inf,-2.9322
4MG9,541-02-6_min,27K_redock_4MG9,0.3785,1.6320,inf,8.2307
4MG9,540-97-6_min,27K_redock_4MG9,0.3630,1.5013,inf,17.3772
4MG9,69335-91-7_min,27K_redock_4MG9,0.3597,2.5129,inf,-7.2775
4MG9,104746-04-5_min,27K_redock_4MG9,0.3393,1.9252,inf,-6.4326
4MG9,29331-92-8_min,27K_redock_4MG9,0.3393,1.9252,inf,-6.4326
4MG9,18684-55-4_min,27K_redock_4MG9,0.3359,2.1889,inf,-9.6604
4MG9,125-71-3_min,27K_redock_4MG9,0.3228,2.0104,inf,-8.9867
4MG9,93413-69-5_min,27K_redock_4MG9,0.2986,1.9061,inf,-3.9171
4MG9,66722-44-9_min,27K_redock_4MG9,0.2903,1.9142,inf,-6.1169
4MG9,58955-93-4_min,27K_redock_4MG9,0.2583,1.3775,inf,-7.7735
4MG9,7432-28-2_min,27K_redock_4MG9,0.2232,1.3937,inf,12.7879
4MG9,2163-68-0_min,27K_redock_4MG9,0.1779,0.9610,inf,-5.0123
4MG9,7374-53-0_min,27K_redock_4MG9,0.1572,0.8744,inf,-5.7781
4MG9,134523-00-5_min,27K_redock_4MG9,0.1313,0.9490,inf,8.6604
4MGA,84-16-2_min,27L_redock_4MGA,0.9616,7.6649,inf,-7.3678
4MGA,56-53-1_min,27L_redock_4MGA,0.9563,7.5677,inf,-7.5553
4MGA,474-86-2_min,27L_redock_4MGA,0.9415,7.5886,inf,-8.8265
4MGA,53-16-7_min,27L_redock_4MGA,0.9229,7.3352,inf,-8.2407
4MGA,84057-84-1_min,27L_redock_4MGA,0.9215,6.4918,inf,-7.2165
4MGA,84-17-3_min,27L_redock_4MGA,0.8815,7.1132,inf,-7.7559
4MGA,50-28-2_min,27L_redock_4MGA,0.8808,7.0820,inf,-8.0416
4MGA,53-63-4_min,27L_redock_4MGA,0.8675,6.7053,inf,-8.1349
4MGA,53-43-0_min,27L_redock_4MGA,0.8668,6.8636,inf,-8.0427
4MGA,481-29-8_min,27L_redock_4MGA,0.8444,6.6922,inf,-8.1090
4MGA,103-90-2_min,27L_redock_4MGA,0.8246,4.5230,inf,-5.8283
4MGA,57-91-0_min,27L_redock_4MGA,0.8236,6.5132,inf,-6.3907
4MGA,362-05-0_min,27L_redock_4MGA,0.8169,6.4006,inf,-8.5699
4MGA,5976-61-4_min,27L_redock_4MGA,0.8103,6.0810,inf,-7.8147
4MGA,5696-58-2_min,27L_redock_4MGA,0.7925,5.8177,inf,-7.6572
4MGA,36507-30-9_min,27L_redock_4MGA,0.7768,5.2108,inf,-6.7064
4MGA,85-68-7_min,27L_redock_4MGA,0.7726,4.7297,inf,-6.2952
4MGA,95-14-7_min,27L_redock_4MGA,0.7699,2.9658,inf,-4.7060
4MGA,876-04-0_min,27L_redock_4MGA,0.7639,3.8492,inf,-5.6007
4MGA,93413-62-8_min,27L_redock_4MGA,0.7635,5.1216,inf,-8.4338
4MGA,301-02-0_min,27L_redock_4MGA,0.7621,5.8762,inf,-6.5481
4MGA,15569-85-4_min,27L_redock_4MGA,0.7573,4.1817,inf,-5.6424
4MGA,537-46-2_min,27L_redock_4MGA,0.7525,3.8932,inf,-4.8690
4MGA,134-62-3_min,27L_redock_4MGA,0.7493,3.9912,inf,-6.2766
4MGA,738-70-5_min,27L_redock_4MGA,0.7448,5.4718,inf,-6.3206
4MGA,50-27-1_min,27L_redock_4MGA,0.7427,5.7058,inf,-7.9119
4MGA,57-63-6_min,27L_redock_4MGA,0.7267,5.4937,inf,12.7634
4MGA,2631-40-5_min,27L_redock_4MGA,0.7182,4.3603,inf,-5.8481
4MGA,126-73-8_min,27L_redock_4MGA,0.6990,3.1271,inf,-5.2457
4MGA,34816-55-2_min,27L_redock_4MGA,0.6626,5.0702,inf,-3.0361
4MGA,144-83-2_min,27L_redock_4MGA,0.6381,4.0222,inf,-7.0452
4MGA,54-11-5_min,27L_redock_4MGA,0.6339,3.3112,inf,-5.5959
4MGA,58-08-2_min,27L_redock_4MGA,0.6213,3.1910,inf,-5.6361
4MGA,1912-24-9_min,27L_redock_4MGA,0.6205,3.8462,inf,-5.0625
4MGA,42542-10-9_min,27L_redock_4MGA,0.6144,3.1934,inf,-5.5931
4MGA,2243-62-1_min,27L_redock_4MGA,0.6030,3.0367,inf,-6.0538
4MGA,58-73-1_min,27L_redock_4MGA,0.5969,3.5862,inf,-7.0914
4MGA,60207-90-1_min,27L_redock_4MGA,0.5561,3.8242,inf,-6.3834
4MGA,34014-18-1_min,27L_redock_4MGA,0.5468,3.3820,inf,-4.8473
4MGA,28721-07-5_min,27L_redock_4MGA,0.5408,3.3438,inf,-8.3645
4MGA,298-46-4_min,27L_redock_4MGA,0.5363,3.5110,inf,-8.1510
4MGA,125-71-3_min,27L_redock_4MGA,0.5304,3.6241,inf,-7.2135
4MGA,107534-96-3_min,27L_redock_4MGA,0.5228,3.9364,inf,-4.4772
4MGA,34911-55-2_min,27L_redock_4MGA,0.5218,3.2251,inf,-6.0736
4MGA,5051-22-9_min,27L_redock_4MGA,0.5205,3.3999,inf,-6.5227
4MGA,14800-24-9_min,27L_redock_4MGA,0.5198,2.1023,inf,-4.7852
4MGA,1222-05-5_min,27L_redock_4MGA,0.5109,3.4005,inf,-7.4331
4MGA,525-66-6_min,27L_redock_4MGA,0.4962,3.2646,inf,-6.2802
4MGA,29331-92-8_min,27L_redock_4MGA,0.4896,3.0406,inf,-4.0714
4MGA,104746-04-5_min,27L_redock_4MGA,0.4896,3.0406,inf,-4.0714
4MGA,122-34-9_min,27L_redock_4MGA,0.4699,2.7635,inf,-5.0238
4MGA,72-33-3_min,27L_redock_4MGA,0.4539,3.3681,inf,-1.3207
4MGA,58955-93-4_min,27L_redock_4MGA,0.4503,2.7777,inf,-6.1500
4MGA,2163-68-0_min,27L_redock_4MGA,0.4491,2.5406,inf,-5.4905
4MGA,93413-69-5_min,27L_redock_4MGA,0.4445,2.8998,inf,-5.3736
4MGA,69335-91-7_min,27L_redock_4MGA,0.4406,2.5382,inf,6.2037
4MGA,7374-53-0_min,27L_redock_4MGA,0.4375,2.6062,inf,-5.8441
4MGA,10605-21-7_min,27L_redock_4MGA,0.4350,2.3663,inf,-5.4524
4MGA,3930-20-9_min,27L_redock_4MGA,0.4268,2.6930,inf,-6.5640
4MGA,540-97-6_min,27L_redock_4MGA,0.4188,1.8525,inf,21.2872
4MGA,601-57-0_min,27L_redock_4MGA,0.4174,3.1552,inf,11.8380
4MGA,541-02-6_min,27L_redock_4MGA,0.4153,1.8936,inf,9.8366
4MGA,97-39-2_min,27L_redock_4MGA,0.4028,2.5732,inf,-6.8037
4MGA,18684-55-4_min,27L_redock_4MGA,0.3810,2.4516,inf,-2.2270
4MGA,7432-28-2_min,27L_redock_4MGA,0.3027,1.9448,inf,10.2874
4MGA,16287-71-1_min,27L_redock_4MGA,0.2913,2.0657,inf,-6.3606
4MGA,66722-44-9_min,27L_redock_4MGA,0.2854,1.8180,inf,-5.5574
4MGA,134523-00-5_min,27L_redock_4MGA,0.1880,1.2271,inf,10.2041
4MGC,53-16-7_min,27M_redock_4MGC,0.9704,7.8600,inf,-10.8797
4MGC,84-16-2_min,27M_redock_4MGC,0.9603,7.8987,inf,-8.8517
4MGC,56-53-1_min,27M_redock_4MGC,0.9598,7.8891,inf,-9.3434
4MGC,5696-58-2_min,27M_redock_4MGC,0.9594,7.3787,inf,-11.4466
4MGC,50-28-2_min,27M_redock_4MGC,0.9593,7.8159,inf,-10.4549
4MGC,84-17-3_min,27M_redock_4MGC,0.9502,7.7883,inf,-9.4350
4MGC,53-63-4_min,27M_redock_4MGC,0.9501,7.4317,inf,-10.8510
4MGC,53-43-0_min,27M_redock_4MGC,0.9474,7.7991,inf,-10.9668
4MGC,474-86-2_min,27M_redock_4MGC,0.9474,7.3999,inf,-10.0927
4MGC,57-91-0_min,27M_redock_4MGC,0.9446,7.5561,inf,-11.1228
4MGC,481-29-8_min,27M_redock_4MGC,0.9315,7.6181,inf,-10.7232
4MGC,362-05-0_min,27M_redock_4MGC,0.9143,7.0167,inf,-10.6352
4MGC,84057-84-1_min,27M_redock_4MGC,0.8574,6.1284,inf,-7.7474
4MGC,50-27-1_min,27M_redock_4MGC,0.8528,6.4126,inf,-9.8849
4MGC,5976-61-4_min,27M_redock_4MGC,0.8214,6.0248,inf,-9.9339
4MGC,103-90-2_min,27M_redock_4MGC,0.8175,4.4835,inf,-5.8489
4MGC,85-68-7_min,27M_redock_4MGC,0.8132,5.2867,inf,-7.8458
4MGC,15569-85-4_min,27M_redock_4MGC,0.8006,4.2828,inf,-5.6995
4MGC,876-04-0_min,27M_redock_4MGC,0.8000,3.9651,inf,-5.5266
4MGC,134-62-3_min,27M_redock_4MGC,0.7976,3.9764,inf,-6.5988
4MGC,57-63-6_min,27M_redock_4MGC,0.7943,6.2074,inf,-7.7983
4MGC,34816-55-2_min,27M_redock_4MGC,0.7537,5.9351,inf,-6.1434
4MGC,42542-10-9_min,27M_redock_4MGC,0.7216,4.4599,inf,-5.9958
4MGC,95-14-7_min,27M_redock_4MGC,0.7153,2.5727,inf,-5.5043
4MGC,738-70-5_min,27M_redock_4MGC,0.7145,5.0478,inf,-6.7298
4MGC,97-39-2_min,27M_redock_4MGC,0.6993,4.2104,inf,11.5968
4MGC,93413-62-8_min,27M_redock_4MGC,0.6960,4.9395,inf,-8.2767
4MGC,54-11-5_min,27M_redock_4MGC,0.6892,3.7508,inf,-5.5001
