ideal_ligand,protein,native_ligand,CNN_pose,CNN_VS,RMSD
143-50-0_min,4TUZ,36J_redock_4TUZ,0.6608,5.6017,inf
143-50-0_min,3UU7,2OH_redock_3UU7,0.6575,5.5148,inf
143-50-0_min,4MGC,27M_redock_4MGC,0.6410,5.3182,inf
143-50-0_min,6CBZ,EST_redock_6CBZ,0.6364,5.2706,inf
143-50-0_min,1ERE,EST_redock_1ERE,0.6235,5.2016,inf
143-50-0_min,1GWR,EST_redock_1GWR,0.6037,5.0370,inf
143-50-0_min,4MGA,27L_redock_4MGA,0.5578,4.6427,inf
143-50-0_min,4ZN7,DES_redock_4ZN7,0.5278,4.3426,inf
143-50-0_min,4MG9,27K_redock_4MG9,0.5149,4.2456,inf
143-50-0_min,3ERD,DES_redock_3ERD,0.4358,3.5154,inf
143-74-8_min,1GWR,EST_redock_1GWR,0.8411,5.8430,inf
143-74-8_min,3UUD,EST_redock_3UUD,0.7502,5.1851,inf
143-74-8_min,3UU7,2OH_redock_3UU7,0.7425,5.1358,inf
143-74-8_min,4MGA,27L_redock_4MGA,0.7408,5.1084,inf
143-74-8_min,4MG9,27K_redock_4MG9,0.7291,4.9476,inf
143-74-8_min,6CBZ,EST_redock_6CBZ,0.7083,4.8962,inf
143-74-8_min,4MG8,27J_redock_4MG8,0.6860,4.5900,inf
143-74-8_min,1ERE,EST_redock_1ERE,0.6812,4.8614,inf
143-74-8_min,4TUZ,36J_redock_4TUZ,0.6680,4.5202,inf
143-74-8_min,4MGC,27M_redock_4MGC,0.6547,4.2102,inf
143-74-8_min,4ZN7,DES_redock_4ZN7,0.6475,4.3840,inf
143-74-8_min,1G50,EST_redock_1G50,0.5934,4.2237,inf
143-74-8_min,3ERD,DES_redock_3ERD,0.5768,3.9040,inf
15372-34-6_min,4ZN7,DES_redock_4ZN7,0.8246,6.0361,inf
15372-34-6_min,1GWR,EST_redock_1GWR,0.8010,5.6759,inf
